time,signal
0.00,0.05
0.01,0.03
0.02,0.04
0.03,0.06
0.04,0.07
0.05,0.05
0.06,0.04
0.07,0.03
0.08,0.05
0.09,0.06
0.10,0.08
0.11,0.07
0.12,0.06
0.13,0.05
0.14,0.04
0.15,0.03
0.16,0.02
0.17,0.03
0.18,0.04
0.19,0.05
0.20,0.06
0.21,0.08
0.22,0.10
0.23,0.12
0.24,0.10
0.25,0.08
0.26,0.06
0.27,0.05
0.28,0.04
0.29,0.03
0.30,0.04
0.31,0.05
0.32,0.07
0.33,0.09
0.34,0.12
0.35,0.16
0.36,0.20
0.37,0.16
0.38,0.10
0.39,0.06
0.40,0.04
0.41,0.03
0.42,0.02
0.43,0.03
0.44,0.04
0.45,0.05
0.46,0.06
0.47,0.07
0.48,0.08
0.49,0.07
0.50,0.06
0.51,0.05
0.52,0.04
0.53,0.03
0.54,0.04
0.55,0.05
0.56,0.06
0.57,0.09
0.58,0.15
0.59,0.30
0.60,0.95
0.61,0.35
0.62,0.16
0.63,0.10
0.64,0.07
0.65,0.05
0.66,0.04
0.67,0.03
0.68,0.04
0.69,0.05
0.70,0.06
0.71,0.07
0.72,0.08
0.73,0.07
0.74,0.06
0.75,0.05
0.76,0.04
0.77,0.03
0.78,0.04
0.79,0.05
0.80,0.07
0.81,0.10
0.82,0.16
0.83,0.32
0.84,0.98
0.85,0.36
0.86,0.17
0.87,0.10
0.88,0.07
0.89,0.05
0.90,0.04
0.91,0.03
0.92,0.04
0.93,0.05
0.94,0.06
0.95,0.07
0.96,0.08
0.97,0.07
0.98,0.06
0.99,0.05
1.00,0.04
1.01,0.03
1.02,0.04
1.03,0.05
1.04,0.07
1.05,0.11
1.06,0.18
1.07,0.34
1.08,1.00
1.09,0.37
1.10,0.18
1.11,0.11
1.12,0.08
1.13,0.06
1.14,0.05
1.15,0.04
1.16,0.05
1.17,0.06
1.18,0.07
1.19,0.08
1.20,0.09
1.21,0.08
1.22,0.07
1.23,0.06
1.24,0.05
1.25,0.04
1.26,0.05
1.27,0.06
1.28,0.08
1.29,0.12
1.30,0.20
1.31,0.36
1.32,0.99
1.33,0.35
1.34,0.17
1.35,0.10
1.36,0.07
1.37,0.05
1.38,0.04
1.39,0.03
1.40,0.04
1.41,0.05
1.42,0.06
1.43,0.07
1.44,0.08
1.45,0.07
1.46,0.06
1.47,0.05
1.48,0.04
1.49,0.03
1.50,0.04
1.51,0.05
1.52,0.07
1.53,0.11
1.54,0.19
1.55,0.35
1.56,1.02
1.57,0.38
1.58,0.19
1.59,0.11
1.60,0.08
1.61,0.06
1.62,0.05
1.63,0.04
1.64,0.05
1.65,0.06
1.66,0.07
1.67,0.08
1.68,0.09
1.69,0.08
1.70,0.07
1.71,0.06
1.72,0.05
1.73,0.04
1.74,0.05
1.75,0.06
1.76,0.08
1.77,0.12
1.78,0.21
1.79,0.38
1.80,1.03
1.81,0.40
1.82,0.21
1.83,0.12
1.84,0.08
1.85,0.06
1.86,0.05
1.87,0.04
1.88,0.05
1.89,0.06
1.90,0.07
1.91,0.08
1.92,0.09
1.93,0.08
1.94,0.07
1.95,0.06
1.96,0.05
1.97,0.04
1.98,0.05
1.99,0.06
2.00,0.08

