time_s,scenario_name,action_type,status,detail,payload
30,CPRForceScaleMax,CardiacArrestData,APPLIED,Action accepted by backend,"{""State"": ""On""}"
40,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
41,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
42,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
43,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
44,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
45,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
46,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
47,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
48,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
49,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
50,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
51,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
52,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
53,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
54,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
55,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
56,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
57,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
58,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
59,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
60,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
61,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
62,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
63,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
64,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
