time_s,scenario_name,action_type,status,detail,payload
30,CPRForceScale,CardiacArrestData,APPLIED,Action accepted by backend,"{""State"": ""On""}"
40,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
41,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
42,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
43,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
44,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
45,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
46,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
47,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
48,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
49,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
50,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
51,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
52,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
53,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
54,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
55,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
56,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
57,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
58,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
59,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
60,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
61,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
62,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
63,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
64,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
65,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
66,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
67,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
68,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
69,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
70,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
71,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
72,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
73,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
74,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
75,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
76,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
77,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
78,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
79,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
80,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
81,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
82,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
83,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
84,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
85,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
86,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
87,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
88,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
89,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
90,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
91,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
92,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
93,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
94,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
95,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
96,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
97,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
98,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
99,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
100,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
101,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
102,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
103,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
104,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
105,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
106,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
107,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
108,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
109,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
110,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
111,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
112,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
113,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
114,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
