category,name,unit,precision,compartment,substance
Physiology,HeartRate,1/min,2,,
Physiology,HeartStrokeVolume,mL,1,,
Physiology,BloodVolume,L,2,,
Physiology,ArterialPressure,mmHg,1,,
Physiology,MeanArterialPressure,mmHg,1,,
Physiology,SystolicArterialPressure,mmHg,0,,
Physiology,DiastolicArterialPressure,mmHg,1,,
Physiology,CardiacOutput,L/min,2,,
Physiology,HemoglobinContent,g,0,,
Physiology,CentralVenousPressure,mmHg,2,,
Physiology,PulmonaryCapillariesWedgePressure,mmHg,2,,
Physiology,SystemicVascularResistance,mmHg s/mL,3,,
Physiology,ExtravascularFluidVolume,L,1,,
Physiology,TidalVolume,mL,3,,
Physiology,TotalLungVolume,L,2,,
Physiology,RespirationRate,1/min,2,,
Physiology,OxygenSaturation,unitless,3,,
Physiology,CarbonDioxideSaturation,unitless,3,,
Physiology,EndTidalCarbonDioxideFraction,unitless,4,,
Physiology,TotalAlveolarVentilation,L/min,2,,
Physiology,TranspulmonaryPressure,cmH2O,2,,
Physiology,CoreTemperature,degC,1,,
Physiology,SkinTemperature,degC,1,,
Physiology,RespiratoryExchangeRatio,unitless,3,,
Physiology,OxygenConsumptionRate,mL/min,3,,
Physiology,CarbonDioxideProductionRate,mL/min,3,,
Physiology,GlomerularFiltrationRate,mL/min,0,,
Physiology,RenalBloodFlow,L/min,2,,
Physiology,UrineProductionRate,mL/min,3,,
Physiology,ArterialBloodPH,unitless,2,,
Physiology,RightAfferentArterioleResistance,mmHg min/mL,4,,
GasCompartment,Pressure,cmH2O,2,LeftAlveoli,
GasCompartment,Oxygen,mmHg,2,LeftAlveoli,
GasCompartment,CarbonDioxide,mmHg,2,LeftAlveoli,
GasCompartment,Pressure,cmH2O,2,RightAlveoli,
GasCompartment,Oxygen,mmHg,2,RightAlveoli,
GasCompartment,CarbonDioxide,mmHg,2,RightAlveoli,
GasCompartment,Oxygen,cmH2O,2,Trachea,
GasCompartment,CarbonDioxide,cmH2O,2,Trachea,
LiquidCompartment,Oxygen,mmHg,2,Aorta,
LiquidCompartment,CarbonDioxide,mmHg,2,Aorta,
LiquidCompartment,Oxygen,mmHg,2,VenaCava,
LiquidCompartment,CarbonDioxide,mmHg,2,VenaCava,
LiquidCompartment,Sodium,g/L,2,RightTubules,
LiquidCompartment,Sodium,g/L,2,LeftTubules,
Substance,AlveolarTransfer,mL/s,2,,Oxygen
Substance,AlveolarTransfer,mL/s,2,,CarbonDioxide
Substance,BloodConcentration,ug/L,6,,Epinephrine
Physiology,LiverGlycogen,g,2,,
Physiology,MuscleGlycogen,g,2,,
Substance,MassInBody,mg,2,,Lactate
Substance,MassInBlood,mg,2,,Lactate
Substance,MassInTissue,mg,2,,Lactate
Substance,BloodConcentration,mg/L,2,,Lactate
Substance,Clearance-RenalFiltrationRate,mg/min,2,,Lactate
Physiology,TotalBilirubin,mg/dL,3,,
Physiology,EnergyDeficit,W,3,,
Physiology,MeanUrineOutput,mL/min,3,,
Physiology,InflammatoryResponse-TissueIntegrity,,3,,
Physiology,InflammatoryResponse-BloodPathogen,,3,,
Physiology,InflammatoryResponse-LocalPathogen,,3,,
Physiology,InflammatoryResponse-LocalMacrophage,,3,,
Physiology,InflammatoryResponse-LocalNeutrophil,,3,,
Physiology,InflammatoryResponse-LocalBarrier,,3,,
Physiology,InflammatoryResponse-Trauma,,3,,
Physiology,InflammatoryResponse-MacrophageResting,,3,,
Physiology,InflammatoryResponse-MacrophageActive,,3,,
Physiology,InflammatoryResponse-NeutrophilActive,,3,,
Physiology,InflammatoryResponse-NeutrophilResting,,3,,
Physiology,InflammatoryResponse-Interleukin6,,3,,
Physiology,InflammatoryResponse-Interleukin10,,3,,
Physiology,InflammatoryResponse-Interleukin12,,3,,
Physiology,InflammatoryResponse-Nitrate,,3,,
Physiology,InflammatoryResponse-NitricOxide,,3,,
Physiology,InflammatoryResponse-TumorNecrosisFactor,,3,,
Physiology,InflammatoryResponse-ConstitutiveNOS,,3,,
Physiology,InflammatoryResponse-InducibleNOSPre,,3,,
Physiology,InflammatoryResponse-InducibleNOS,,3,,
LiquidCompartment,Albumin,g/dL,2,Aorta,
LiquidCompartment,Lactate,mmol/L,2,Aorta,
LiquidCompartment,Lactate,mg/L,2,MuscleTissueIntracellular,
LiquidCompartment,Lactate,mg/L,2,MuscleTissueExtracellular,
Patient,Weight,kg,1,,
Substance,Clearance-RenalReabsorptionRate,mg/min,2,,Lactate
LiquidCompartment,Concentration,mg/L,2,MuscleTissueIntracellular,Lactate
LiquidCompartment,Concentration,mg/L,2,MuscleTissueExtracellular,Lactate
LiquidCompartment,Concentration,g/dL,2,Aorta,Albumin
LiquidCompartment,Molarity,mmol/L,2,Aorta,Lactate
Substance,BloodConcentration,mg/dL,3,,Lactate
Substance,PlasmaConcentration,mg/L,6,,Piperacillin
Substance,SystemicMassCleared,mg,2,,Piperacillin
Substance,MassInBody,ug,2,,Piperacillin
Substance,AreaUnderCurve,s g/L,6,,Piperacillin
Physiology,AntibioticActivity,,4,,
