time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
1,72.11154143876631,72.11154143876631,0.0,89.59836180713253,89.59836180713253,0.0,4.977856859051906,4.977856859051906,0.0,5.20236471214164,5.204204800970898,-0.0018400888292582351,15.399999999999999,15.399999999999999,0.0
2,72.40506606032442,72.40506606032442,0.0,89.39033111647673,89.39033111647673,0.0,4.94318837803609,4.94318837803609,0.0,5.199362019946158,5.201054983395939,-0.001692963449780649,15.517369430437558,15.517369430437558,0.0
3,71.95286881636282,71.95286881636282,0.0,89.44133421923256,89.44133421923256,0.0,4.954346578918781,4.954346578918781,0.0,5.196617436235225,5.198175037801367,-0.0015576015661427078,15.605645215038368,15.605645215038368,0.0
4,72.20895661586954,72.20895661586954,0.0,89.52133400154207,89.52133400154207,0.0,4.9762752098157605,4.9762752098157605,0.0,5.19529039626627,5.196723458887418,-0.0014330626211478403,15.655898220627058,15.655898220627058,0.0
5,72.53684966523691,72.53684966523691,0.0,89.17551953474499,89.17551953474499,0.0,4.947170813859749,4.947170813859749,0.0,5.199141899053139,5.20046038031354,-0.0013184812604016827,15.747773115561904,15.747773115561904,0.0
6,72.68523794932858,72.68523794932858,0.0,89.4085891834585,89.4085891834585,0.0,4.992052807191578,4.992052807191578,0.0,5.197995852788735,5.199208914108161,-0.00121306131942589,15.747286043470563,15.747286043470563,0.0
7,72.8245491136938,72.8245491136938,0.0,89.8227565242657,89.8227565242657,0.0,4.999298925809866,4.999298925809866,0.0,5.2002018139143305,5.201317884205871,-0.001116070291540261,15.649712332422528,15.649712332422528,0.0
8,72.45740233732555,72.45740233732555,0.0,89.40913114621436,89.40913114621436,0.0,4.97801552518737,4.97801552518737,0.0,5.1961956920587715,5.197222526296837,-0.0010268342380657103,15.591084231880222,15.591084231880222,0.0
9,72.4830369155097,72.4830369155097,0.0,89.31162652391335,89.31162652391335,0.0,4.957702707109036,4.957702707109036,0.0,5.194169645947634,5.195114379053116,-0.000944733105482598,15.620673294302142,15.620673294302142,0.0
10,72.513905485797,72.513905485797,0.0,89.1803512607352,89.1803512607352,0.0,4.9816635554095905,4.9816635554095905,0.0,5.191269840256428,5.192139036673443,-0.0008691964170148836,15.628143350053424,15.628143350053424,0.0
11,72.81236890590677,72.81236890590677,0.0,89.3875555426764,89.3875555426764,0.0,4.99887368150377,4.99887368150377,0.0,5.195396384491003,5.196196083799693,-0.0007996993086898385,15.574369622913842,15.574369622913842,0.0
12,72.44834986368147,72.44834986368147,0.0,89.09352888234264,89.09352888234264,0.0,4.980442889465595,4.980442889465595,0.0,5.19287429769971,5.193610056582052,-0.0007357588823424521,15.519286832884838,15.519286832884838,0.0
13,72.66817192271247,72.66817192271247,0.0,89.23790932299352,89.23790932299352,0.0,4.9746969251796065,4.9746969251796065,0.0,5.197589513295712,5.198266444145926,-0.0006769308502132532,15.620887884472932,15.620887884472932,0.0
14,72.35895703466639,72.35895703466639,0.0,89.25831134897423,89.25831134897423,0.0,4.95908465232431,4.95908465232431,0.0,5.198628105073418,5.199250911521246,-0.0006228064478284168,15.64072580879504,15.64072580879504,0.0
15,72.21340956742738,72.21340956742738,0.0,89.61250850225709,89.61250850225709,0.0,4.965293492833466,4.965293492833466,0.0,5.1946468898570775,5.195219899450797,-0.0005730095937197532,15.67504790373865,15.67504790373865,0.0
16,71.86244428013438,71.86244428013438,0.0,89.95117826441583,89.95117826441583,0.0,4.963686493303785,4.963686493303785,0.0,5.190710177973628,5.191237372249859,-0.0005271942762306026,15.712084520097523,15.712084520097523,0.0
